algorithm,pathway_id,precision,recall_at_6_hops,f1_score,path_length_accuracy,hub_node_ratio,mrr,edit_distance,relation_accuracy,predicted_length,ground_truth_length
Dijkstra,hydrocortisone_Dermatitis_Contact,0.6666666666666666,0.2,0.30769230769230765,0.30000000000000004,0.6666666666666666,0.0,0.8,0.5,3,10
Dijkstra,hydrocortisone_Eye_Diseases,0.5,0.2,0.28571428571428575,0.4,0.25,0.0,0.8,0.0,4,10
Dijkstra,hydrocortisone_Lupus_Erythematosus_Systemic,0.6666666666666666,0.2,0.30769230769230765,0.30000000000000004,0.6666666666666666,0.0,0.8,0.0,3,10
Dijkstra,hydrocortisone_Pemphigus,0.5,0.2,0.28571428571428575,0.4,0.5,0.0,0.8,0.0,4,10
Dijkstra,hydrocortisone_Serum_Sickness,0.5,0.2,0.28571428571428575,0.4,0.75,0.0,0.8,0.0,4,10
Dijkstra,naproxen_Arthritis_Rheumatoid,0.6666666666666666,0.4,0.5,0.6,1.0,0.0,0.6,0.0,3,5
Dijkstra,promazine_Porphyria_Acute_Intermittent,0.5,0.25,0.3333333333333333,0.5,0.75,0.0,0.75,0.6666666666666666,4,8
Dijkstra,methylprednisolone_Arthritis_Rheumatoid,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33333333333333337,1.0,0.0,0.7777777777777778,0.0,3,9
Dijkstra,methylprednisolone_Asthma,0.5,0.2,0.28571428571428575,0.4,1.0,0.0,0.8,1.0,4,10
Dijkstra,methylprednisolone_Lupus_Erythematosus_Systemic,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33333333333333337,0.6666666666666666,0.0,0.7777777777777778,0.0,3,9
Dijkstra,triamcinolone_Arthritis_Rheumatoid,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33333333333333337,1.0,0.0,0.7777777777777778,0.0,3,9
Dijkstra,triamcinolone_Asthma,0.5,0.2,0.28571428571428575,0.4,1.0,0.0,0.8,1.0,4,10
Dijkstra,triamcinolone_Lupus_Erythematosus_Systemic,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33333333333333337,0.6666666666666666,0.0,0.7777777777777778,0.0,3,9
Dijkstra,cortisone_acetate_Arthritis_Rheumatoid,0.75,0.3333333333333333,0.46153846153846156,0.4444444444444444,0.75,1.0,0.6666666666666666,1.0,4,9
Dijkstra,cortisone_acetate_Asthma,0.75,0.3,0.4285714285714285,0.4,0.75,1.0,0.7,1.0,4,10
Dijkstra,cortisone_acetate_Lupus_Erythematosus_Systemic,0.75,0.3333333333333333,0.46153846153846156,0.4444444444444444,0.75,1.0,0.6666666666666666,1.0,4,9
Dijkstra,prednisolone_Arthritis_Rheumatoid,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33333333333333337,0.6666666666666666,0.0,0.7777777777777778,0.0,3,9
Dijkstra,prednisolone_Asthma,0.5,0.2,0.28571428571428575,0.4,1.0,0.0,0.8,1.0,4,10
Dijkstra,prednisolone_Lupus_Erythematosus_Systemic,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33333333333333337,0.6666666666666666,0.0,0.7777777777777778,0.0,3,9
Dijkstra,betamethasone_Arthritis_Rheumatoid,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33333333333333337,1.0,0.0,0.7777777777777778,0.0,3,9
Dijkstra,betamethasone_Asthma,0.5,0.2,0.28571428571428575,0.4,1.0,0.0,0.8,1.0,4,10
Dijkstra,betamethasone_Lupus_Erythematosus_Systemic,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33333333333333337,0.6666666666666666,0.0,0.7777777777777778,0.0,3,9
Dijkstra,prednisone_Angioedema,0.6666666666666666,0.5,0.5714285714285715,0.75,0.6666666666666666,0.0,0.5,0.0,3,4
Dijkstra,prednisone_Arthritis_Psoriatic,0.75,0.75,0.75,1.0,0.75,1.0,0.25,0.3333333333333333,4,4
Dijkstra,prednisone_Arthritis_Rheumatoid,0.6666666666666666,0.2,0.30769230769230765,0.30000000000000004,1.0,0.0,0.8,0.0,3,10
Dijkstra,prednisone_Asthma,0.5,0.18181818181818182,0.26666666666666666,0.36363636363636365,1.0,0.0,0.8181818181818182,1.0,4,11
Dijkstra,prednisone_Autoimmune_Diseases,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.0,4,4
Dijkstra,prednisone_Berylliosis,0.5,0.5,0.5,1.0,0.75,0.0,0.5,0.0,4,4
Dijkstra,prednisone_Dermatitis_Atopic,0.5,0.5,0.5,1.0,0.75,0.0,0.5,0.3333333333333333,4,4
Dijkstra,prednisone_Dermatitis_Contact,0.6666666666666666,0.5,0.5714285714285715,0.75,0.6666666666666666,0.0,0.5,0.0,3,4
Dijkstra,prednisone_Dermatitis_Exfoliative,0.4,0.5,0.4444444444444445,0.8,0.6,0.0,0.6,0.0,5,4
Dijkstra,prednisone_Hodgkin_Disease,0.6666666666666666,0.5,0.5714285714285715,0.75,0.6666666666666666,0.0,0.5,0.0,3,4
Dijkstra,prednisone_Lupus_Erythematosus_Systemic,0.6666666666666666,0.2,0.30769230769230765,0.30000000000000004,0.6666666666666666,0.0,0.8,0.0,3,10
Dijkstra,prednisone_Lymphoma_Follicular,0.6666666666666666,0.5,0.5714285714285715,0.75,0.6666666666666666,0.0,0.5,0.0,3,4
Dijkstra,prednisone_Lymphoma_T-Cell_Cutaneous,0.75,0.75,0.75,1.0,0.75,1.0,0.25,0.3333333333333333,4,4
Dijkstra,prednisone_Multiple_Sclerosis,0.5,0.5,0.5,1.0,0.75,0.0,0.5,0.0,4,4
Dijkstra,prednisone_Musculoskeletal_Diseases,0.5,0.5,0.5,1.0,0.75,0.0,0.5,0.0,4,4
Dijkstra,prednisone_Nephrotic_Syndrome,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.3333333333333333,4,4
Dijkstra,prednisone_Pemphigus,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.0,4,4
Dijkstra,prednisone_Psoriasis,0.5,0.5,0.5,1.0,0.75,0.0,0.5,0.0,4,4
Dijkstra,prednisone_Pulmonary_Eosinophilia,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.0,4,4
Dijkstra,prednisone_Rheumatic_Heart_Disease,0.4,0.5,0.4444444444444445,0.8,0.6,0.0,0.6,0.25,5,4
Dijkstra,prednisone_Sarcoidosis,0.6666666666666666,0.5,0.5714285714285715,0.75,0.6666666666666666,0.0,0.5,0.0,3,4
Dijkstra,prednisone_Serum_Sickness,0.6666666666666666,0.5,0.5714285714285715,0.75,0.6666666666666666,0.0,0.5,0.5,3,4
Dijkstra,prednisone_Skin_Diseases,0.5,0.5,0.5,1.0,0.75,0.0,0.5,0.3333333333333333,4,4
Dijkstra,prednisone_Tennis_Elbow,0.4,0.5,0.4444444444444445,0.8,0.4,0.0,0.6,0.25,5,4
Dijkstra,prednisone_Thyroiditis,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.0,4,4
Dijkstra,Acebutolol_Hypertension,0.5,0.5,0.5,1.0,1.0,0.0,0.5,0.0,4,4
Hub-Penalized,diflunisal_Rheumatoid_arthritis,1.0,0.6,0.7499999999999999,0.6,1.0,1.0,0.4,1.0,3,5
Hub-Penalized,bromocriptine_Hyperprolactinemia,1.0,0.6,0.7499999999999999,0.6,0.6666666666666666,1.0,0.4,1.0,3,5
Hub-Penalized,amobarbital_Epilepsy,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.5,0.6666666666666666,0.0,0.6666666666666666,1.0,3,6
Hub-Penalized,capecitabine_Malignant_tumor_of_stomach,0.6666666666666666,0.5,0.5714285714285715,0.75,0.6666666666666666,0.0,0.5,0.5,3,4
Hub-Penalized,oxaprozin_Rheumatoid_arthritis,0.6666666666666666,0.4,0.5,0.6,0.6666666666666666,0.0,0.6,0.0,3,5
Hub-Penalized,regorafenib_Gastrointestinal_stromal_tumor,1.0,0.6,0.7499999999999999,0.6,0.6666666666666666,1.0,0.4,1.0,3,5
Hub-Penalized,abiraterone_acetate_Malignant_tumor_of_prostate,0.6666666666666666,0.2857142857142857,0.4,0.4285714285714286,0.6666666666666666,0.0,0.7142857142857143,1.0,3,7
Hub-Penalized,abiraterone_acetate_Malignant_tumor_of_prostate_2,0.6666666666666666,0.4,0.5,0.6,0.6666666666666666,0.0,0.6,1.0,3,5
Hub-Penalized,abiraterone_acetate_Malignant_tumor_of_prostate_4,0.6666666666666666,0.2857142857142857,0.4,0.4285714285714286,0.6666666666666666,0.0,0.7142857142857143,1.0,3,7
Hub-Penalized,alfacalcidol_Chronic_Kidney_Disease-Mineral,0.5,0.4,0.4444444444444445,0.8,0.0,0.0,0.6,0.3333333333333333,4,5
Hub-Penalized,alfacalcidol_Chronic_Kidney_Disease-Mineral_2,0.5,0.4,0.4444444444444445,0.8,0.0,0.0,0.6,0.3333333333333333,4,5
Hub-Penalized,alfacalcidol_Chronic_Kidney_Disease-Mineral_3,0.5,0.4,0.4444444444444445,0.8,0.0,0.0,0.6,0.3333333333333333,4,5
